Папандреу I-Person
указали O
источники O
. O

В O
свою O
очередь O
журналист O
говорит O
что O
это O
защитнику O
" O
мерещится O
" O
. O

Госсекретарь O
США B-Location
Хиллари B-Person
Клинтон B-Person
в O
свою O
очередь O
заявила O
что O
власти O
Сирии B-Location
несут O
ответственность O
за O
гибель O
двух O
тысяч O
человек O
убитых O
в O
ходе O
подавления O
антиправительственных O
выступлений O
. O

Как O
сообщил O
президент O
группы O
" O
АВТОВАЗ B-Org
" O
Борис B-Person
Алешин B-Person
слова O
которого O
приводятся O
в O
материалах O
компании O
АВТОВАЗ B-Org
намерен O
войти O
в O
бизнес O
запчастей O
и O
в O
перспективе O
занять O
долю O
не O
менее O
40 O
% O
на O
этом O
рынке O
который O
по O
самым O
скромным O
подсчетам O
оценивается O
более O
чем O
в O
100 O
млрд O
руб O
. O

Н O
. O

Новым O
директором O
по O
качеству O
АВТОВАЗа B-Org
назначили O
Л B-Person
. O

Дж O
. O

В O
Грузию B-Location
решил O
вернуться O
бывший O
министр O
госбезопасности O
Игорь B-Person
Гиоргадзе B-Person
Бывший O
министр O
госбезопасности O
Грузии B-Location
Игорь B-Person
Гиоргадзе B-Person
который O
в O
середине O
1990 O
х O
годов O
был O
обвинен O
в O
подготовке O
покушения O
на O
президента O
и O
на O
фоне O
этих O
обвинений O
покинул O
страну O
намерен O
вернуться O
из O
эмиграции O
. O

В O
РБК B-Org
сменился O
менеджмент O
В O
ОАО B-Org
" O
РБК B-Org
" O
сменилось O
руководство O
. O

Если O
не O
получится O
то O
прервем O
переговоры O
. O

Мы O
не O
должны O
забывать O
что O
мы O
светское O
государство O
и O
по O
этому O
пути O
будем O
идти O
как O
бы O
не O
старались O
некоторые O
расшатать O
ситуацию O
. O

Я O
не O
видел O
и O
не O
подписывал O
документы O
свидетельствующие O
о O
том O
что O
это O
заседание O
действительно O
состоялось O
и O
такие O
решения O
были O
приняты O
. O

Американцы O
рассматривают O
возможность O
того O
, O
что O
Чамитофф B-Person
не O
полетит O
на O
МКС B-Org
, O
а O
Рейсман B-Person
вернется O
на O
землю O
на O
шаттле O
. O

Чиновница O
была O
уволена O
" O
в O
связи O
с O
переходом O
на O
другую O
работу O
" O
. O

Кадровые O
изменения O
в O
администрации O
региона O
последовали O
сразу O
же O
после O
переизбрания O
Денина B-Person
. O

Как O
отмечает O
" O
Коммерсантъ B-Org
Власть O
" O
главным O
соперником O
Олега B-Person
Ковалева B-Person
теперь O
остался O
кандидат O
от O
КПРФ B-Org
Владимир B-Person
Федоткин B-Person
. O

Министром O
по O
связям O
с O
" O
Открытым O
правительством O
" O
стал O
Михаил B-Person
Абызов B-Person
руководивший O
этой O
структурой O
. O

В O
качестве O
возможного O
кандидата O
на O
премьерский O
пост O
который O
в O
настоящий O
момент O
занимает O
верный O
соратник O
бывшего O
эмира O
шейх O
Хамад B-Person
бен O
Джасем B-Person
Аль B-Person
Тани B-Person
эксперты O
ранее O
называли O
вице O
премьера O
Ахмеда B-Person
бен O
Абдаллы B-Person
Аль B-Person
Махмуда B-Person
. O

Тогда O
он O
сообщил O
что O
Голдсмит B-Person
хоть O
и O
был O
против O
войны O
все O
же O
изменил O
свою O
точку O
зрения O
. O

Формальный O
повод O
отложить O
выбор O
генсека O
есть O
. O

В O
воскресенье O
стало O
известно O
что O
Сноуден B-Person
прибыл O
из O
Гонконга B-Location
в O
Москву B-Location
и O
запросил O
убежища O
в O
Эквадоре B-Location
. O
" O

Официальное O
заявление O
канцлера O
Ангелы O
Меркель B-Person
по O
этому O
вопросу O
ожидается O
в O
15 O
: O
00 O
по O
местному O
времени O
( O
пять O
вечера O
по O
Москве B-Location
) O
. O

Однако O
за O
несколько O
дней O
до O
выборов O
Пономарев B-Person
вместе O
с O
кандидатом O
от O
ЛДПР B-Org
Михаилом B-Person
Марченко B-Person
сняли O
свои O
кандидатуры O
. O

В O
обращении O
которое O
подписал O
председатель O
Совета B-Org
Российского O
Общества O
Солидарности B-Org
и O
сотрудничества O
с O
народами O
Азии B-Location
и O
Африки O
глава O
международного O
комитета O
Совета B-Org
Федерации I-Org
РФ B-Location
Михаил B-Person
Маргелов B-Person
подчеркивается O
что O
< O
явной O
целью O
грузинского O
политического O
руководства O
было O
полностью O
< O
очистить O
> O
территорию O
от O
осетин O
путем O
массовых O
убийств O
и O
изгнания O
со O
своих O
родных O
мест O
> O
. O

Однако O
именно O
